State,City name/ Municipality,Covenant of Mayors,Population 2010 Municipio INEGI 2010,population 2010 LOG10,Join Year to GCoM ,Adult Population with a Bachelor’s Degree 2010. INEGI 2010,% of Adult Population with a Bachelor’s Degree,% of Population in Poverty 2010. Source: CONEVAL 2010,Number of Public Universities in the City/Municipality,Number of Universities in the State 2010. INEGI 2010,Cities with Climate Protests,"Social Associations and Organizations; 1 = Yes, 0 = No",Number of Social Associations and Organizations per Municipality,"Social Associations and Organizations; 0 = International, 1 = Local"
Aguascalientes,Pabellón de Arteaga,0,41862,4.621819973,N/A,7991,0,46.95833,1,0,0,0,0,0
Aguascalientes,Rincón de Romos,0,49156,4.691576536,N/A,9116,0,56.1362,3,0,0,0,0,0
Aguascalientes,Aguascalientes,0,797010,5.90146377,N/A,226503,0,30.5311,36,0,3,0,0,0
Baja California,Playas de Rosarito,1,90668,4.957454036,2023,18485,0,33.15864,2,0,0,0,0,0
Baja California,Ensenada,1,466814,5.669143872,2023,119015,0,36.1098,15,0,4,0,0,0
Baja California,Tijuana,1,1559683,6.193036339,2023,394050,0,32.77951,40,0,3,1,1,1
Baja California,Mexicali,0,936826,5.971658935,N/A,263386,0,30.15391,29,0,0,0,0,0
Baja California Sur,Los cabos,1,238487,5.37746471,2019,62492,0,28.53371,8,0,0,0,0,0
Baja California Sur,La Paz,1,251871,5.401178166,2020,87599,0,24.67439,15,0,1,0,0,0
Baja California Sur,Comondú,0,70816,4.850131392,N/A,16226,0,48.0628,0,0,0,0,0,0
Baja California Sur,Los Cabos,0,238487,5.37746471,N/A,62492,0,28.53371,8,0,0,0,0,0
Baja California Sur,Los Cabos,0,238487,5.37746471,N/A,62492,0,28.53371,8,0,0,0,0,0
Campeche,Champotón,1,83021,4.91918796,2019,12370,0,63.20129,2,0,0,1,1,1
Campeche,Escárcega,0,54184,4.733871063,N/A,7004,0,73.01295,1,0,0,0,0,0
Campeche,Carmen,0,221094,5.344576957,N/A,58127,0,41.08083,10,0,1,0,0,0
Campeche,Campeche,0,259005,5.413308148,N/A,83971,0,35.24851,25,0,1,0,0,0
Chiapas,Tonalá,1,84594,4.927339561,2018,14799,0,76.71596,2,0,0,0,0,0
Chiapas,Berriozábal,1,43179,4.63527258,2022,4958,0,76.56444,0,0,0,0,0,0
Chiapas,Tuxtla Gutiérrez,1,553374,5.74301875,2023,187694,0,43.25344,44,0,1,1,1,1
Chiapas,Zinacantán,0,36489,4.562161961,N/A,427,0,94.90038,0,0,1,0,0,0
Chiapas,Reforma,0,40711,4.60971177,N/A,7924,0,60.38169,0,0,0,0,0,0
Chiapas,Huixtla,0,51359,4.710616559,N/A,8703,0,65.74086,0,0,0,0,0,0
Chiapas,Cintalapa,0,78114,4.892728877,N/A,11879,0,75.57869,4,0,0,0,0,0
Chiapas,Ocozocoautla de Espinosa,0,82059,4.91412622,N/A,9067,0,82.38092,2,0,0,0,0,0
Chiapas,Chiapa de Corzo,0,87603,4.942518979,N/A,15263,0,68.5032,0,0,1,0,0,0
Chiapas,Villaflores,0,98618,4.993956191,N/A,15544,0,78.15971,4,0,0,0,0,0
Chiapas,Palenque,0,110918,5.04500203,N/A,14348,0,82.32283,0,0,0,0,0,0
Chiapas,Comitán de Domínguez,0,141013,5.149259152,N/A,23582,0,66.36495,3,0,0,0,0,0
Chiapas,San Cristóbal de las Casas,0,185917,5.269319103,N/A,41157,0,66.11376,13,0,1,1,1,0
Chiapas,San Cristóbal de las Casas,0,185917,5.269319103,N/A,41157,0,66.11376,13,0,1,1,1,1
Chiapas,Ocosingo,0,198877,5.29858456,N/A,13461,0,90.92234,1,0,1,0,0,0
Chiapas,Tapachula,0,320451,5.505761631,N/A,74077,0,60.66546,18,0,0,0,0,0
Chihuahua,Chihuahua,1,819543,5.913571745,2015,265795,0,26.95287,46,0,3,1,1,1
Chihuahua,Juárez,1,1332131,6.124546935,2015,280384,0,37.67719,19,0,0,0,0,0
Chihuahua,Delicias,1,137935,5.139674479,2021,36487,0,21.39198,7,0,0,0,0,0
Chihuahua,Jiménez,0,41265,4.615581849,N/A,8609,0,43.15723,1,0,0,0,0,0
Chihuahua,Camargo,0,48748,4.687956802,N/A,10547,0,38.46113,1,0,0,0,0,0
Chihuahua,Nuevo Casas Grandes,0,59337,4.773325585,N/A,12969,0,39.20329,3,0,0,0,0,0
Chihuahua,Hidalgo del Parral,0,107061,5.029631296,N/A,29020,0,30.95924,6,0,0,0,0,0
Chihuahua,Cuauhtémoc,0,154639,5.189319033,N/A,28089,0,42.98893,4,0,0,0,0,0
Ciudad de México,Ciudad de México,1,8851080,6.946996266,2015,3394773,0,28.70651,337,0,27,1,54,0
Ciudad de México,Ciudad de México,1,8851080,6.946996266,2015,3394773,0,28.70651,337,0,27,1,54,1
Coahuila de Zaragoza,Monclova,1,216206,5.334867742,2015,66533,0,19.11096,9,0,1,0,0,0
Coahuila de Zaragoza,Saltillo,1,725123,5.860411681,2019,216022,0,23.46494,30,0,1,1,1,1
Coahuila de Zaragoza,Torreón,1,639629,5.805928146,2022,201643,0,27.28674,25,0,1,0,0,0
Coahuila de Zaragoza,San Juan de Sabinas,0,41649,4.619604578,N/A,10434,0,18.99712,4,0,0,0,0,0
Coahuila de Zaragoza,Parras,0,45401,4.657065419,N/A,9063,0,34.61725,1,0,0,0,0,0
Coahuila de Zaragoza,Francisco I. Madero,0,55676,4.745668026,N/A,10144,0,38.40468,0,0,0,0,0,0
Coahuila de Zaragoza,Sabinas,0,60847,4.784239171,N/A,14481,0,23.69409,2,0,0,0,0,0
Coahuila de Zaragoza,Múzquiz,0,66834,4.824997454,N/A,11727,0,35.3322,0,0,0,0,0,0
Coahuila de Zaragoza,San Pedro,0,102650,5.011358954,N/A,16895,0,49.09548,1,0,1,0,0,0
Coahuila de Zaragoza,Matamoros,0,107160,5.030032705,N/A,17765,0,37.24465,1,0,0,0,0,0
Coahuila de Zaragoza,Acuña,0,136755,5.135943214,N/A,23103,0,29.78433,4,0,0,0,0,0
Coahuila de Zaragoza,Piedras Negras,0,152806,5.184140407,N/A,34541,0,24.01378,8,0,0,0,0,0
Colima,Villa de Álvarez,1,119956,5.079021976,2020,44442,0,24.34066,4,0,1,0,0,0
Colima,Colima,1,146904,5.167033621,2020,47946,0,27.8766,9,0,3,0,0,0
Colima,Manzanillo,1,161420,5.207957343,2023,40073,0,31.7254,5,0,0,0,0,0
Colima,Tecomán,0,112726,5.052024097,N/A,17096,0,51.28181,3,0,0,0,0,0
Colima,Tecomán,0,112726,5.052024097,N/A,17096,0,51.28181,3,0,1,0,0,0
Durango,Santiago Papasquiaro,0,44966,4.652884256,N/A,6177,0,64.27853,2,0,0,0,0,0
Durango,Lerdo,0,141043,5.149351537,N/A,31856,0,46.57871,2,0,0,0,0,0
Durango,Gómez Palacio,0,327985,5.515853982,N/A,77596,0,38.80471,11,0,0,0,0,0
Durango,Durango,0,582267,5.765122177,N/A,153845,0,42.18646,26,0,0,0,0,0
Guanajuato,León,1,1436480,6.157299584,2015,300039,0,37.78161,39,0,3,0,0,0
Guanajuato,Apaseo el Grande,1,85319,4.931045757,2016,10182,0,56.00101,0,0,0,0,0,0
Guanajuato,San Miguel de Allende,1,160383,5.205158333,2019,23357,0,63.68685,5,0,3,1,1,1
Guanajuato,Valle de Santiago,1,141058,5.149397722,2020,16898,0,63.95491,1,0,0,0,0,0
Guanajuato,San Francisco del Rincón,1,113570,5.055263626,2022,13702,0,50.9389,2,0,0,0,0,0
Guanajuato,Salamanca,1,260732,5.416194336,2023,52576,0,41.1222,4,0,0,0,0,0
Guanajuato,Irapuato,1,529440,5.72381675,2023,109641,0,43.63037,16,0,0,0,0,0
Guanajuato,Moroleón,0,49364,4.693410344,N/A,9083,0,54.6126,1,0,0,0,0,0
Guanajuato,Uriangato,0,59305,4.77309131,N/A,6964,0,61.64021,2,0,0,0,0,0
Guanajuato,Yuriria,0,70782,4.84992283,N/A,6975,0,58.10374,0,0,0,0,0,0
Guanajuato,Santa Cruz de Juventino Rosas,0,79214,4.898801944,N/A,8572,0,68.1909,0,0,0,0,0,0
Guanajuato,Abasolo,0,84332,4.9259924,N/A,7923,0,69.15695,0,0,0,0,0,0
Guanajuato,Salvatierra,0,97054,4.987013439,N/A,12812,0,59.71732,0,0,0,0,0,0
Guanajuato,San Felipe,0,106952,5.02918891,N/A,8117,0,68.07044,0,0,0,0,0,0
Guanajuato,Acámbaro,0,109030,5.037546012,N/A,16418,0,55.19297,1,0,0,0,0,0
Guanajuato,San Luis de la Paz,0,115656,5.063168168,N/A,12821,0,62.93578,1,0,1,0,0,0
Guanajuato,"Dolores Hidalgo
Cuna de la Independencia Nacional",0,148173,5.170769074,N/A,16710,0,64.12203,2,0,0,0,0,0
